7974.2 1:22.8709213584 2:22.5735705334 3:123.4204990903 4:22.0762157775 5:22.2286118285 6:149.0176953815 7:65.5879635633 8:106.9783060764 9:109.9548770288 10:20.5643336012 11:75.2355372984 12:99.2952741771 13:84.7099856417 14:77.4177190208 15:97.1154852473 16:72.1961214912 17:70.6875384376 18:105.953883645 19:63.0816564704 20:91.3734265362 21:84.6193580776 22:67.8229538507 23:74.8507593913 24:76.2122186867 
8766.9 1:23.2021881958 2:20 3:140.5692260403 4:21.0847620829 5:22.5356104071 6:197.5584153057 7:67.7687207534 8:120.7273797199 9:118.6093732305 10:22.7804339198 11:81.3943566365 12:107.1428352967 13:95.4748448574 14:78.9059579856 15:108.4169486676 16:75.4831960359 17:73.9665049042 18:115.4043913342 19:67.1128021706 20:105.1826457736 21:87.602319718 22:71.459760493 23:76.8259755643 24:83.9035753211 
11714.4 1:20 2:20 3:140.6743070534 4:20 5:20 6:317.4971195869 7:117.1677121446 8:100.375693503 9:113.6249380637 10:20 11:50.5436879227 12:118.762227117 13:92.3434611093 14:86.1019474213 15:125.9658262393 16:87.4979333387 17:93.3610760385 18:159.0359979003 19:91.717464169 20:111.6973613793 21:108.8267612741 22:80.9892433 23:64.7123833172 24:89.6725357071 
13632.5 1:20 2:20 3:124.3039981959 4:20 5:20 6:184.757288209 7:109.8772570565 8:117.144877019 9:135.6021542379 10:20 11:20 12:181.5500590058 13:104.6975980042 14:92.3578906454 15:141.2862036305 16:93.3512849047 17:88.529604015 18:155.490124553 19:90.7504929674 20:109.6913481888 21:108.0887710382 22:84.5664903246 23:77.1831128098 24:112.1727797493 
12994.5 1:20 2:20 3:140.0244164389 4:20 5:20 6:188.9380200914 7:135.1868945525 8:105.6105288384 9:165.8978253609 10:20 11:20 12:143.0172357705 13:113.7575839069 14:115.0045850936 15:121.0905010652 16:105.8768615569 17:100.7966198375 18:173.9995305431 19:94.2816402456 20:144.8575753178 21:109.0752931594 22:78.3297588571 23:85.0512215525 24:99.7363847474 
17134.4 1:20 2:20 3:105.5398732399 4:20 5:20 6:162.3094233112 7:111.6918886018 8:64.5322074105 9:170.6606506738 10:20 11:20 12:150.8528669586 13:109.9089301388 14:97.2350278133 15:110.091671615 16:93.412828657 17:92.557496281 18:142.545802187 19:96.0839115213 20:96.2999662754 21:110.7777200743 22:72.3058682094 23:80.4251824198 24:103.3735809255 
17890 1:20 2:20 3:156.4830349605 4:20 5:20 6:206.9632818909 7:140.6894120117 8:80.7441731294 9:201.5332398941 10:20 11:20 12:129.9132354961 13:113.7053110348 14:105.0388884145 15:100.9863557617 16:107.2343689982 17:101.2260254548 18:154.5738157901 19:98.2190699245 20:133.3928387379 21:111.2591830794 22:74.5357287691 23:80.5039335555 24:100.2964136038 
19573 1:20 2:20 3:110.1281985808 4:20 5:20 6:221.3517002113 7:120.1964354344 8:56.4896531384 9:207.6020170886 10:20 11:20 12:176.9600260656 13:125.0696795036 14:107.8052596725 15:126.0626115221 16:110.016018467 17:104.2172285029 18:151.0730473551 19:103.9012169385 20:95.8922380757 21:126.5798410355 22:80.5145910696 23:80.8561994794 24:105.5077023286 
19662.1 1:20 2:20 3:97.0948057189 4:20 5:20 6:182.8609900262 7:148.8722590591 8:63.7806945732 9:220.3817839421 10:20 11:20 12:131.5185329425 13:144.4408713028 14:106.6757944815 15:123.4694694604 16:88.1330562569 17:98.5086053448 18:139.4389426416 19:102.6777451471 20:98.0780478771 21:125.9090782276 22:87.4866600778 23:85.9469150956 24:105.0207732509 
19636 1:20 2:20 3:136.499777394 4:20 5:20 6:213.7667182414 7:103.8369294433 8:65.9481717952 9:124.8730649817 10:20 11:20 12:77.7159991451 13:120.2172447547 14:89.0416771702 15:103.5486604629 16:76.3461738296 17:76.6287835366 18:133.4377157598 19:80.372497214 20:90.0699814515 21:103.442772461 22:63.668578991 23:68.4422714699 24:83.3022266184 
18421.9 1:20 2:20 3:95.2689002902 4:20 5:20 6:184.415451618 7:119.7921914318 8:46.9193577908 9:124.0871508888 10:20 11:20 12:143.8623074918 13:124.4437659412 14:91.8724470655 15:125.545531793 16:76.7816110788 17:82.1794511766 18:125.5502239147 19:85.7980486562 20:70.9442037209 21:99.3504724739 22:62.9609226075 23:71.1976007607 24:88.8157314032 
